model,pretrain
adv_inception_v3,in1k-adv
bat_resnext26ts,in1k
beit_base_patch16_224,in21k-selfsl
beit_base_patch16_384,in21k-selfsl
beit_large_patch16_224,in21k-selfsl
beit_large_patch16_384,in21k-selfsl
beit_large_patch16_512,in21k-selfsl
botnet26t_256,in1k
cait_m36_384,in1k-dist
cait_m48_448,in1k-dist
cait_s24_224,in1k-dist
cait_s24_384,in1k-dist
cait_s36_384,in1k-dist
cait_xs24_384,in1k-dist
cait_xxs24_224,in1k-dist
cait_xxs24_384,in1k-dist
cait_xxs36_224,in1k-dist
cait_xxs36_384,in1k-dist
coat_lite_mini,in1k
coat_lite_small,in1k
coat_lite_tiny,in1k
coat_mini,in1k
coat_tiny,in1k
convit_base,in1k
convit_small,in1k
convit_tiny,in1k
convmixer_1024_20_ks9_p14,in1k
convmixer_1536_20,in1k
convmixer_768_32,in1k
crossvit_15_240,in1k
crossvit_15_dagger_240,in1k
crossvit_15_dagger_408,in1k
crossvit_18_240,in1k
crossvit_18_dagger_240,in1k
crossvit_18_dagger_408,in1k
crossvit_9_240,in1k
crossvit_9_dagger_240,in1k
crossvit_base_240,in1k
crossvit_small_240,in1k
crossvit_tiny_240,in1k
cspdarknet53,in1k
cspresnet50,in1k
cspresnext50,in1k
deit_base_distilled_patch16_224,in1k-dist
deit_base_distilled_patch16_384,in1k-dist
deit_base_patch16_224,in1k
deit_base_patch16_384,in1k
deit_small_distilled_patch16_224,in1k-dist
deit_small_patch16_224,in1k
deit_tiny_distilled_patch16_224,in1k-dist
deit_tiny_patch16_224,in1k
densenet121,in1k
densenet161,in1k
densenet169,in1k
densenet201,in1k
densenetblur121d,in1k
dla102,in1k
dla102x,in1k
dla102x2,in1k
dla169,in1k
dla34,in1k
dla46_c,in1k
dla46x_c,in1k
dla60,in1k
dla60_res2net,in1k
dla60_res2next,in1k
dla60x,in1k
dla60x_c,in1k
dm_nfnet_f0,in1k
dm_nfnet_f1,in1k
dm_nfnet_f2,in1k
dm_nfnet_f3,in1k
dm_nfnet_f4,in1k
dm_nfnet_f5,in1k
dm_nfnet_f6,in1k
dpn107,in1k
dpn131,in1k
dpn68,in1k
dpn68b,in1k
dpn92,in1k
dpn98,in1k
eca_botnext26ts_256,in1k
eca_halonext26ts,in1k
eca_nfnet_l0,in1k
eca_nfnet_l1,in1k
eca_nfnet_l2,in1k
eca_resnet33ts,in1k
eca_resnext26ts,in1k
ecaresnet101d,in1k
ecaresnet101d_pruned,in1k
ecaresnet269d,in1k
ecaresnet26t,in1k
ecaresnet50d,in1k
ecaresnet50d_pruned,in1k
ecaresnet50t,in1k
ecaresnetlight,in1k
efficientnet_b0,in1k
efficientnet_b1,in1k
efficientnet_b1_pruned,in1k
efficientnet_b2,in1k
efficientnet_b2_pruned,in1k
efficientnet_b3,in1k
efficientnet_b3_pruned,in1k
efficientnet_b4,in1k
efficientnet_el,in1k
efficientnet_el_pruned,in1k
efficientnet_em,in1k
efficientnet_es,in1k
efficientnet_es_pruned,in1k
efficientnet_lite0,in1k
efficientnetv2_rw_m,in1k
efficientnetv2_rw_s,in1k
efficientnetv2_rw_t,in1k
ens_adv_inception_resnet_v2,in1k-adv
ese_vovnet19b_dw,in1k
ese_vovnet39b,in1k
fbnetc_100,in1k
gc_efficientnetv2_rw_t,in1k
gcresnet33ts,in1k
gcresnet50t,in1k
gcresnext26ts,in1k
gcresnext50ts,in1k
gernet_l,in1k
gernet_m,in1k
gernet_s,in1k
ghostnet_100,in1k
gluon_inception_v3,in1k
gluon_resnet101_v1b,in1k
gluon_resnet101_v1c,in1k
gluon_resnet101_v1d,in1k
gluon_resnet101_v1s,in1k
gluon_resnet152_v1b,in1k
gluon_resnet152_v1c,in1k
gluon_resnet152_v1d,in1k
gluon_resnet152_v1s,in1k
gluon_resnet18_v1b,in1k
gluon_resnet34_v1b,in1k
gluon_resnet50_v1b,in1k
gluon_resnet50_v1c,in1k
gluon_resnet50_v1d,in1k
gluon_resnet50_v1s,in1k
gluon_resnext101_32x4d,in1k
gluon_resnext101_64x4d,in1k
gluon_resnext50_32x4d,in1k
gluon_senet154,in1k
gluon_seresnext101_32x4d,in1k
gluon_seresnext101_64x4d,in1k
gluon_seresnext50_32x4d,in1k
gluon_xception65,in1k
gmixer_24_224,in1k
gmlp_s16_224,in1k
halo2botnet50ts_256,in1k
halonet26t,in1k
halonet50ts,in1k
haloregnetz_b,in1k
hardcorenas_a,in1k
hardcorenas_b,in1k
hardcorenas_c,in1k
hardcorenas_d,in1k
hardcorenas_e,in1k
hardcorenas_f,in1k
hrnet_w18,in1k
hrnet_w18_small,in1k
hrnet_w18_small_v2,in1k
hrnet_w30,in1k
hrnet_w32,in1k
hrnet_w40,in1k
hrnet_w44,in1k
hrnet_w48,in1k
hrnet_w64,in1k
ig_resnext101_32x16d,ig1b-wsl
ig_resnext101_32x32d,ig1b-wsl
ig_resnext101_32x48d,ig1b-wsl
ig_resnext101_32x8d,ig1b-wsl
inception_resnet_v2,in1k
inception_v3,in1k
inception_v4,in1k
jx_nest_base,in1k
jx_nest_small,in1k
jx_nest_tiny,in1k
lambda_resnet26rpt_256,in1k
lambda_resnet26t,in1k
lambda_resnet50ts,in1k
lamhalobotnet50ts_256,in1k
legacy_senet154,in1k
legacy_seresnet101,in1k
legacy_seresnet152,in1k
legacy_seresnet18,in1k
legacy_seresnet34,in1k
legacy_seresnet50,in1k
legacy_seresnext101_32x4d,in1k
legacy_seresnext26_32x4d,in1k
legacy_seresnext50_32x4d,in1k
levit_128,in1k-dist
levit_128s,in1k-dist
levit_192,in1k-dist
levit_256,in1k-dist
levit_384,in1k-dist
mixer_b16_224,in1k
mixer_b16_224_miil,in21k
mixer_l16_224,in1k
mixnet_l,in1k
mixnet_m,in1k
mixnet_s,in1k
mixnet_xl,in1k
mnasnet_100,in1k
mobilenetv2_100,in1k
mobilenetv2_110d,in1k
mobilenetv2_120d,in1k
mobilenetv2_140,in1k
mobilenetv3_large_100,in1k
mobilenetv3_large_100_miil,in21k
mobilenetv3_rw,in1k
