model,top1,top1_err,top5,top5_err,param_count,img_size,cropt_pct,interpolation
resnet18,69.758,30.242,89.078,10.922,11.69,224,0.875,bilinear
gluon_resnet18_v1b,70.83,29.17,89.756,10.244,11.69,224,0.875,bicubic
seresnet18,71.758,28.242,90.334,9.666,11.78,224,0.875,bicubic
tv_resnet34,73.314,26.686,91.42,8.58,21.8,224,0.875,bilinear
spnasnet_100,74.08,25.92,91.832,8.168,4.42,224,0.875,bilinear
gluon_resnet34_v1b,74.58,25.42,91.988,8.012,21.8,224,0.875,bicubic
mnasnet_100,74.656,25.344,92.126,7.874,4.38,224,0.875,bicubic
densenet121,74.752,25.248,92.152,7.848,7.98,224,0.875,bicubic
seresnet34,74.808,25.192,92.126,7.874,21.96,224,0.875,bilinear
resnet34,75.112,24.888,92.288,7.712,21.8,224,0.875,bilinear
fbnetc_100,75.12,24.88,92.386,7.614,5.57,224,0.875,bilinear
resnet26,75.292,24.708,92.57,7.43,16,224,0.875,bicubic
semnasnet_100,75.456,24.544,92.592,7.408,3.89,224,0.875,bicubic
mobilenetv3_100,75.628,24.372,92.708,7.292,5.48,224,0.875,bicubic
tf_mixnet_s,75.648,24.352,92.636,7.364,4.13,224,0.875,bicubic
densenet169,75.912,24.088,93.024,6.976,14.15,224,0.875,bicubic
mixnet_s,75.988,24.012,92.794,7.206,4.13,224,0.875,bicubic
tv_resnet50,76.13,23.87,92.862,7.138,25.56,224,0.875,bilinear
dpn68,76.306,23.694,92.97,7.03,12.61,224,0.875,bicubic
resnet26d,76.68,23.32,93.166,6.834,16.01,224,0.875,bicubic
tf_efficientnet_b0,76.84,23.16,93.226,6.774,5.29,224,0.875,bicubic
efficientnet_b0,76.914,23.086,93.206,6.794,5.29,224,0.875,bicubic
tf_mixnet_m,76.95,23.05,93.156,6.844,5.01,224,0.875,bicubic
seresnext26_32x4d,77.1,22.9,93.31,6.69,16.79,224,0.875,bicubic
mixnet_m,77.256,22.744,93.418,6.582,5.01,224,0.875,bicubic
tf_efficientnet_es,77.264,22.736,93.6,6.4,5.44,224,0.875,bicubic
densenet201,77.29,22.71,93.478,6.522,20.01,224,0.875,bicubic
densenet161,77.348,22.652,93.648,6.352,28.68,224,0.875,bicubic
resnet101,77.374,22.626,93.546,6.454,44.55,224,0.875,bilinear
inception_v3,77.434,22.566,93.478,6.522,27.16,299,0.875,bicubic
dpn68b,77.514,22.486,93.822,6.178,12.61,224,0.875,bicubic
adv_inception_v3,77.576,22.424,93.724,6.276,23.83,299,0.875,bicubic
gluon_resnet50_v1b,77.578,22.422,93.718,6.282,25.56,224,0.875,bicubic
tv_resnext50_32x4d,77.618,22.382,93.698,6.302,25.03,224,0.875,bilinear
seresnet50,77.636,22.364,93.752,6.248,28.09,224,0.875,bilinear
tf_inception_v3,77.856,22.144,93.644,6.356,23.83,299,0.875,bicubic
gluon_resnet50_v1c,78.012,21.988,93.988,6.012,25.58,224,0.875,bicubic
resnet152,78.312,21.688,94.046,5.954,60.19,224,0.875,bilinear
seresnet101,78.396,21.604,94.258,5.742,49.33,224,0.875,bilinear
wide_resnet50_2,78.468,21.532,94.086,5.914,68.88,224,0.875,bilinear
resnet50,78.47,21.53,94.266,5.734,25.56,224,0.875,bicubic
resnext50_32x4d,78.51,21.49,94.054,5.946,25.03,224,0.875,bicubic
seresnet152,78.658,21.342,94.374,5.626,66.82,224,0.875,bilinear
efficientnet_b1,78.692,21.308,94.086,5.914,7.79,240,0.882,bicubic
tf_efficientnet_em,78.698,21.302,94.32,5.68,6.9,240,0.882,bicubic
gluon_resnet50_v1s,78.712,21.288,94.242,5.758,25.68,224,0.875,bicubic
tf_mixnet_l,78.77,21.23,94.004,5.996,7.33,224,0.875,bicubic
gluon_inception_v3,78.804,21.196,94.38,5.62,23.83,299,0.875,bicubic
tf_efficientnet_b1,78.832,21.168,94.196,5.804,7.79,240,0.882,bicubic
wide_resnet101_2,78.846,21.154,94.284,5.716,126.89,224,0.875,bilinear
mixnet_l,78.976,21.024,94.184,5.816,7.33,224,0.875,bicubic
xception,79.048,20.952,94.392,5.608,22.86,299,0.8975,bicubic
gluon_resnet50_v1d,79.074,20.926,94.476,5.524,25.58,224,0.875,bicubic
seresnext50_32x4d,79.076,20.924,94.434,5.566,27.56,224,0.875,bilinear
gluon_resnet101_v1b,79.304,20.696,94.524,5.476,44.55,224,0.875,bicubic
resnext101_32x8d,79.312,20.688,94.526,5.474,88.79,224,0.875,bilinear
gluon_resnext50_32x4d,79.356,20.644,94.424,5.576,25.03,224,0.875,bicubic
gluon_resnet101_v1c,79.544,20.456,94.586,5.414,44.57,224,0.875,bicubic
gluon_xception65,79.604,20.396,94.748,5.252,39.92,299,0.875,bicubic
dpn98,79.636,20.364,94.594,5.406,61.57,224,0.875,bicubic
resnext50d_32x4d,79.674,20.326,94.868,5.132,25.05,224,0.875,bicubic
gluon_resnet152_v1b,79.692,20.308,94.738,5.262,60.19,224,0.875,bicubic
efficientnet_b2,79.752,20.248,94.71,5.29,9.11,260,0.89,bicubic
