model,img_size,top1,top1_err,top5,top5_err,param_count,crop_pct,interpolation
eva02_large_patch14_448.mim_m38m_ft_in22k_in1k,448,88.6267,11.3733,97.36,2.64,305.08,1.0,bicubic
eva02_large_patch14_448.mim_in22k_ft_in22k_in1k,448,88.4133,11.5867,97.04,2.96,305.08,1.0,bicubic
eva_giant_patch14_560.m30m_ft_in22k_in1k,560,87.32,12.68,96.8,3.2,1014.45,1.0,bicubic
eva02_large_patch14_448.mim_m38m_ft_in1k,448,87.04,12.96,96.3467,3.6533,305.08,1.0,bicubic
eva02_large_patch14_448.mim_in22k_ft_in1k,448,86.2267,13.7733,95.88,4.12,305.08,1.0,bicubic
eva_giant_patch14_336.clip_ft_in1k,336,85.1067,14.8933,95.6667,4.3333,1013.01,1.0,bicubic
eva_giant_patch14_336.m30m_ft_in22k_in1k,336,85.0133,14.9867,96.2533,3.7467,1013.01,1.0,bicubic
tf_efficientnet_l2.ns_jft_in1k,800,84.68,15.32,96.0533,3.9467,480.31,0.96,bicubic
regnety_1280.swag_ft_in1k,384,83.8,16.2,96.1867,3.8133,644.81,1.0,bicubic
eva_large_patch14_336.in22k_ft_in22k_in1k,336,83.52,16.48,95.2,4.8,304.53,1.0,bicubic
tf_efficientnet_l2.ns_jft_in1k_475,475,83.3733,16.6267,95.48,4.52,480.31,0.936,bicubic
convnextv2_huge.fcmae_ft_in22k_in1k_512,512,83.3467,16.6533,95.8933,4.1067,660.29,1.0,bicubic
maxvit_xlarge_tf_512.in21k_ft_in1k,512,83.12,16.88,95.3467,4.6533,475.77,1.0,bicubic
vit_so400m_patch14_siglip_378.webli_ft_in1k,378,82.9733,17.0267,95.44,4.56,429.38,1.0,bicubic
beit_large_patch16_512.in22k_ft_in22k_in1k,512,82.96,17.04,95.72,4.28,305.67,1.0,bicubic
eva_large_patch14_336.in22k_ft_in1k,336,82.68,17.32,95.5333,4.4667,304.53,1.0,bicubic
vit_so400m_patch14_siglip_gap_378.webli_ft_in1k,378,81.7733,18.2267,94.6133,5.3867,414.14,1.0,bicubic
maxvit_large_tf_512.in21k_ft_in1k,512,81.6933,18.3067,94.9867,5.0133,212.33,1.0,bicubic
eva_giant_patch14_224.clip_ft_in1k,224,81.1067,18.8933,94.1867,5.8133,1012.56,0.9,bicubic
maxvit_base_tf_512.in21k_ft_in1k,512,81.0533,18.9467,94.32,5.68,119.88,1.0,bicubic
maxvit_xlarge_tf_384.in21k_ft_in1k,384,80.9467,19.0533,94.44,5.56,475.32,1.0,bicubic
beit_large_patch16_384.in22k_ft_in22k_in1k,384,80.1733,19.8267,94.7333,5.2667,305.0,1.0,bicubic
caformer_b36.sail_in22k_ft_in1k_384,384,79.5867,20.4133,94.32,5.68,98.75,1.0,bicubic
convnextv2_huge.fcmae_ft_in22k_in1k_384,384,79.3733,20.6267,94.5467,5.4533,660.29,1.0,bicubic
