model,img_size,top1,top1_err,top5,top5_err,param_count,crop_pct,interpolation
eva02_large_patch14_448.mim_in22k_ft_in22k_in1k,448,98.16,1.84,99.88,0.12,305.08,1.0,bicubic
eva02_large_patch14_448.mim_m38m_ft_in22k_in1k,448,98.03,1.97,99.89,0.11,305.08,1.0,bicubic
eva_giant_patch14_336.m30m_ft_in22k_in1k,336,98.02,1.98,99.9,0.1,1013.01,1.0,bicubic
eva_giant_patch14_560.m30m_ft_in22k_in1k,560,97.99,2.01,99.86,0.14,1014.45,1.0,bicubic
eva_large_patch14_336.in22k_ft_in22k_in1k,336,97.9,2.1,99.88,0.12,304.53,1.0,bicubic
eva02_large_patch14_448.mim_in22k_ft_in1k,448,97.86,2.14,99.77,0.23,305.08,1.0,bicubic
convnextv2_huge.fcmae_ft_in22k_in1k_384,384,97.86,2.14,99.9,0.1,660.29,1.0,bicubic
eva_giant_patch14_336.clip_ft_in1k,336,97.86,2.14,99.79,0.21,1013.01,1.0,bicubic
eva02_large_patch14_448.mim_m38m_ft_in1k,448,97.82,2.18,99.83,0.17,305.08,1.0,bicubic
eva_large_patch14_336.in22k_ft_in1k,336,97.82,2.18,99.85,0.15,304.53,1.0,bicubic
vit_so400m_patch14_siglip_378.webli_ft_in1k,378,97.82,2.18,99.76,0.24,429.38,1.0,bicubic
beit_large_patch16_384.in22k_ft_in22k_in1k,384,97.81,2.19,99.79,0.21,305.0,1.0,bicubic
convnextv2_huge.fcmae_ft_in22k_in1k_512,512,97.81,2.19,99.86,0.14,660.29,1.0,bicubic
tf_efficientnet_l2.ns_jft_in1k,800,97.77,2.23,99.89,0.11,480.31,0.96,bicubic
beit_large_patch16_512.in22k_ft_in22k_in1k,512,97.77,2.23,99.81,0.19,305.67,1.0,bicubic
maxvit_base_tf_512.in21k_ft_in1k,512,97.77,2.23,99.85,0.15,119.88,1.0,bicubic
tf_efficientnet_l2.ns_jft_in1k_475,475,97.77,2.23,99.81,0.19,480.31,0.936,bicubic
regnety_1280.swag_ft_in1k,384,97.77,2.23,99.86,0.14,644.81,1.0,bicubic
convnext_xxlarge.clip_laion2b_soup_ft_in1k,256,97.77,2.23,99.81,0.19,846.47,1.0,bicubic
maxvit_xlarge_tf_384.in21k_ft_in1k,384,97.77,2.23,99.85,0.15,475.32,1.0,bicubic
beitv2_large_patch16_224.in1k_ft_in22k_in1k,224,97.76,2.24,99.79,0.21,304.43,0.95,bicubic
maxvit_xlarge_tf_512.in21k_ft_in1k,512,97.76,2.24,99.82,0.18,475.77,1.0,bicubic
vit_so400m_patch14_siglip_gap_378.webli_ft_in1k,378,97.72,2.28,99.77,0.23,414.14,1.0,bicubic
eva02_base_patch14_448.mim_in22k_ft_in1k,448,97.71,2.29,99.76,0.24,87.12,1.0,bicubic
maxvit_large_tf_384.in21k_ft_in1k,384,97.67,2.33,99.82,0.18,212.03,1.0,bicubic
maxvit_large_tf_512.in21k_ft_in1k,512,97.66,2.34,99.73,0.27,212.33,1.0,bicubic
caformer_b36.sail_in22k_ft_in1k_384,384,97.65,2.35,99.86,0.14,98.75,1.0,bicubic
convnextv2_large.fcmae_ft_in22k_in1k_384,384,97.65,2.35,99.8,0.2,197.96,1.0,bicubic
vit_large_patch14_clip_224.openai_ft_in12k_in1k,224,97.64,2.36,99.73,0.27,304.2,1.0,bicubic
vit_huge_patch14_clip_336.laion2b_ft_in12k_in1k,336,97.62,2.38,99.76,0.24,632.46,1.0,bicubic
vit_large_patch14_clip_336.openai_ft_in12k_in1k,336,97.62,2.38,99.73,0.27,304.53,1.0,bicubic
eva_large_patch14_196.in22k_ft_in22k_in1k,196,97.61,2.39,99.81,0.19,304.14,1.0,bicubic
eva02_base_patch14_448.mim_in22k_ft_in22k_in1k,448,97.6,2.4,99.82,0.18,87.12,1.0,bicubic
convnext_xlarge.fb_in22k_ft_in1k_384,384,97.58,2.42,99.78,0.22,350.2,1.0,bicubic
deit3_large_patch16_384.fb_in22k_ft_in1k,384,97.58,2.42,99.71,0.29,304.76,1.0,bicubic
eva_giant_patch14_224.clip_ft_in1k,224,97.58,2.42,99.71,0.29,1012.56,0.9,bicubic
maxvit_base_tf_384.in21k_ft_in1k,384,97.56,2.44,99.76,0.24,119.65,1.0,bicubic
vit_so150m2_patch16_reg1_gap_448.sbb_e200_in12k_ft_in1k,448,97.55,2.45,99.78,0.22,136.5,1.0,bicubic
vit_so150m2_patch16_reg1_gap_384.sbb_e200_in12k_ft_in1k,384,97.55,2.45,99.75,0.25,136.33,1.0,bicubic
eva_large_patch14_196.in22k_ft_in1k,196,97.53,2.47,99.79,0.21,304.14,1.0,bicubic
beit_large_patch16_224.in22k_ft_in22k_in1k,224,97.5,2.5,99.68,0.32,304.43,0.9,bicubic
convnext_xlarge.fb_in22k_ft_in1k,288,97.48,2.52,99.82,0.18,350.2,1.0,bicubic
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_384,384,97.47,2.53,99.76,0.24,200.13,1.0,bicubic
maxxvitv2_rmlp_base_rw_384.sw_in12k_ft_in1k,384,97.47,2.53,99.76,0.24,116.09,1.0,bicubic
vit_large_patch14_clip_336.laion2b_ft_in12k_in1k,336,97.46,2.54,99.78,0.22,304.53,1.0,bicubic
vit_large_patch14_clip_224.openai_ft_in1k,224,97.45,2.55,99.69,0.31,304.2,1.0,bicubic
beit3_large_patch16_224.in22k_ft_in1k,224,97.45,2.55,99.72,0.28,304.57,1.0,bicubic
convformer_b36.sail_in22k_ft_in1k_384,384,97.45,2.55,99.75,0.25,99.88,1.0,bicubic
mambaout_base_plus_rw.sw_e150_r384_in12k_ft_in1k,384,97.43,2.57,99.76,0.24,101.66,1.0,bicubic
vit_large_patch16_384.augreg_in21k_ft_in1k,384,97.43,2.57,99.78,0.22,304.72,1.0,bicubic
vit_so150m_patch16_reg4_gap_384.sbb_e250_in12k_ft_in1k,384,97.43,2.57,99.78,0.22,134.42,1.0,bicubic
regnety_1280.swag_lc_in1k,224,97.42,2.58,99.73,0.27,644.81,0.965,bicubic
vit_mediumd_patch16_reg4_gap_384.sbb2_e200_in12k_ft_in1k,384,97.41,2.59,99.77,0.23,64.27,1.0,bicubic
beit3_large_patch16_224.indomain_in22k_ft_in1k,224,97.39,2.61,99.69,0.31,304.57,1.0,bicubic
convnext_large_mlp.clip_laion2b_augreg_ft_in1k_384,384,97.39,2.61,99.73,0.27,200.13,1.0,bicubic
vit_large_patch14_clip_224.laion2b_ft_in12k_in1k,224,97.39,2.61,99.74,0.26,304.2,1.0,bicubic
regnety_320.swag_ft_in1k,384,97.39,2.61,99.76,0.24,145.05,1.0,bicubic
caformer_b36.sail_in22k_ft_in1k,224,97.38,2.62,99.83,0.17,98.75,1.0,bicubic
convnextv2_base.fcmae_ft_in22k_in1k_384,384,97.37,2.63,99.71,0.29,88.72,1.0,bicubic
seresnextaa201d_32x8d.sw_in12k_ft_in1k_384,384,97.36,2.64,99.73,0.27,149.39,1.0,bicubic
convformer_m36.sail_in22k_ft_in1k_384,384,97.36,2.64,99.68,0.32,57.05,1.0,bicubic
caformer_m36.sail_in22k_ft_in1k_384,384,97.36,2.64,99.78,0.22,56.2,1.0,bicubic
coatnet_rmlp_2_rw_384.sw_in12k_ft_in1k,384,97.36,2.64,99.71,0.29,73.88,1.0,bicubic
beit_base_patch16_384.in22k_ft_in22k_in1k,384,97.35,2.65,99.71,0.29,86.74,1.0,bicubic
convnextv2_large.fcmae_ft_in22k_in1k,288,97.34,2.66,99.76,0.24,197.96,1.0,bicubic
vit_huge_patch14_clip_224.laion2b_ft_in12k_in1k,224,97.34,2.66,99.8,0.2,632.05,1.0,bicubic
convnext_large.fb_in22k_ft_in1k_384,384,97.33,2.67,99.75,0.25,197.77,1.0,bicubic
seresnextaa101d_32x8d.sw_in12k_ft_in1k_288,288,97.33,2.67,99.76,0.24,93.59,0.95,bicubic
deit3_large_patch16_224.fb_in22k_ft_in1k,224,97.32,2.68,99.68,0.32,304.37,1.0,bicubic
tf_efficientnetv2_xl.in21k_ft_in1k,512,97.32,2.68,99.6,0.4,208.12,1.0,bicubic
maxvit_rmlp_base_rw_384.sw_in12k_ft_in1k,384,97.32,2.68,99.72,0.28,116.14,1.0,bicubic
tf_efficientnetv2_l.in21k_ft_in1k,480,97.32,2.68,99.64,0.36,118.52,1.0,bicubic
seresnextaa101d_32x8d.sw_in12k_ft_in1k_288,320,97.31,2.69,99.78,0.22,93.59,1.0,bicubic
volo_d5_512.sail_in1k,512,97.3,2.7,99.77,0.23,296.09,1.15,bicubic
swinv2_large_window12to24_192to384.ms_in22k_ft_in1k,384,97.3,2.7,99.78,0.22,196.74,1.0,bicubic
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_320,320,97.29,2.71,99.74,0.26,200.13,1.0,bicubic
beitv2_large_patch16_224.in1k_ft_in1k,224,97.29,2.71,99.74,0.26,304.43,0.95,bicubic
caformer_s36.sail_in22k_ft_in1k_384,384,97.28,2.72,99.72,0.28,39.3,1.0,bicubic
convnextv2_huge.fcmae_ft_in1k,288,97.27,2.73,99.71,0.29,660.29,1.0,bicubic
convnextv2_large.fcmae_ft_in22k_in1k,224,97.27,2.73,99.72,0.28,197.96,0.875,bicubic
swinv2_base_window12to24_192to384.ms_in22k_ft_in1k,384,97.26,2.74,99.8,0.2,87.92,1.0,bicubic
convnext_xlarge.fb_in22k_ft_in1k,224,97.26,2.74,99.74,0.26,350.2,0.875,bicubic
vit_so150m2_patch16_reg1_gap_256.sbb_e200_in12k_ft_in1k,256,97.25,2.75,99.76,0.24,136.06,1.0,bicubic
deit3_huge_patch14_224.fb_in22k_ft_in1k,224,97.25,2.75,99.72,0.28,632.13,1.0,bicubic
convnext_large.fb_in22k_ft_in1k,288,97.24,2.76,99.72,0.28,197.77,1.0,bicubic
deit3_base_patch16_384.fb_in22k_ft_in1k,384,97.24,2.76,99.68,0.32,86.88,1.0,bicubic
convnext_base.fb_in22k_ft_in1k_384,384,97.24,2.76,99.72,0.28,88.59,1.0,bicubic
volo_d5_448.sail_in1k,448,97.24,2.76,99.76,0.24,295.91,1.15,bicubic
vit_large_patch14_clip_336.laion2b_ft_in1k,336,97.24,2.76,99.72,0.28,304.53,1.0,bicubic
vit_base_patch16_clip_384.laion2b_ft_in12k_in1k,384,97.23,2.77,99.7,0.3,86.86,1.0,bicubic
mambaout_base_plus_rw.sw_e150_in12k_ft_in1k,288,97.23,2.77,99.75,0.25,101.66,1.0,bicubic
convformer_b36.sail_in22k_ft_in1k,224,97.23,2.77,99.76,0.24,99.88,1.0,bicubic
convnext_large.fb_in22k_ft_in1k,224,97.23,2.77,99.66,0.34,197.77,0.875,bicubic
convnext_base.fb_in22k_ft_in1k,288,97.22,2.78,99.76,0.24,88.59,1.0,bicubic
nextvit_base.bd_ssld_6m_in1k_384,384,97.22,2.78,99.73,0.27,44.82,1.0,bicubic
swinv2_large_window12to16_192to256.ms_in22k_ft_in1k,256,97.22,2.78,99.71,0.29,196.74,0.9,bicubic
mambaout_base_plus_rw.sw_e150_in12k_ft_in1k,224,97.22,2.78,99.68,0.32,101.66,1.0,bicubic
hiera_huge_224.mae_in1k_ft_in1k,224,97.21,2.79,99.63,0.37,672.78,0.9,bicubic
vit_betwixt_patch16_reg4_gap_384.sbb2_e200_in12k_ft_in1k,384,97.21,2.79,99.72,0.28,60.6,1.0,bicubic
convnextv2_base.fcmae_ft_in22k_in1k,288,97.21,2.79,99.76,0.24,88.72,1.0,bicubic
tf_efficientnet_b7.ns_jft_in1k,600,97.2,2.8,99.7,0.3,66.35,0.949,bicubic
maxvit_base_tf_512.in1k,512,97.19,2.81,99.64,0.36,119.88,1.0,bicubic
coatnet_rmlp_2_rw_224.sw_in12k_ft_in1k,224,97.19,2.81,99.65,0.35,73.88,0.95,bicubic
