model,img_size,top1,top1_err,top5,top5_err,param_count,crop_pct,interpolation
vit_so400m_patch14_siglip_378.webli_ft_in1k,378,90.8467,9.1533,97.2133,2.7867,429.38,1.0,bicubic
convnext_xxlarge.clip_laion2b_soup_ft_in1k,256,90.6167,9.3833,97.9133,2.0867,846.47,1.0,bicubic
eva_giant_patch14_336.clip_ft_in1k,336,90.5167,9.4833,97.2133,2.7867,1013.01,1.0,bicubic
eva02_large_patch14_448.mim_m38m_ft_in1k,448,90.4767,9.5233,97.2767,2.7233,305.08,1.0,bicubic
eva02_large_patch14_448.mim_m38m_ft_in22k_in1k,448,90.2433,9.7567,97.1767,2.8233,305.08,1.0,bicubic
vit_so400m_patch14_siglip_gap_378.webli_ft_in1k,378,90.24,9.76,96.9767,3.0233,414.14,1.0,bicubic
eva_giant_patch14_224.clip_ft_in1k,224,89.8367,10.1633,97.0233,2.9767,1012.56,0.9,bicubic
eva_giant_patch14_336.m30m_ft_in22k_in1k,336,88.62,11.38,95.9467,4.0533,1013.01,1.0,bicubic
eva_giant_patch14_560.m30m_ft_in22k_in1k,560,88.4133,11.5867,95.6333,4.3667,1014.45,1.0,bicubic
regnety_1280.swag_ft_in1k,384,88.3133,11.6867,96.49,3.51,644.81,1.0,bicubic
eva02_large_patch14_448.mim_in22k_ft_in22k_in1k,448,87.8333,12.1667,95.5033,4.4967,305.08,1.0,bicubic
eva02_large_patch14_448.mim_in22k_ft_in1k,448,87.53,12.47,95.7567,4.2433,305.08,1.0,bicubic
regnety_1280.swag_lc_in1k,224,86.9433,13.0567,95.7367,4.2633,644.81,0.965,bicubic
convnext_large_mlp.clip_laion2b_augreg_ft_in1k_384,384,84.5733,15.4267,94.4067,5.5933,200.13,1.0,bicubic
vit_large_patch14_clip_336.openai_ft_in12k_in1k,336,83.9633,16.0367,93.9067,6.0933,304.53,1.0,bicubic
vit_large_patch14_clip_336.laion2b_ft_in1k,336,83.65,16.35,93.4867,6.5133,304.53,1.0,bicubic
eva_large_patch14_336.in22k_ft_in1k,336,83.5233,16.4767,93.1533,6.8467,304.53,1.0,bicubic
vit_huge_patch14_clip_224.laion2b_ft_in1k,224,83.2733,16.7267,93.1233,6.8767,632.05,1.0,bicubic
vit_huge_patch14_clip_336.laion2b_ft_in12k_in1k,336,83.07,16.93,92.86,7.14,632.46,1.0,bicubic
vit_huge_patch14_clip_224.laion2b_ft_in12k_in1k,224,82.9633,17.0367,92.6567,7.3433,632.05,1.0,bicubic
beit3_large_patch16_224.in22k_ft_in1k,224,82.74,17.26,92.88,7.12,304.57,1.0,bicubic
vit_large_patch14_clip_224.openai_ft_in1k,224,82.3967,17.6033,92.9667,7.0333,304.2,1.0,bicubic
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_384,384,82.28,17.72,92.4367,7.5633,200.13,1.0,bicubic
vit_large_patch14_clip_224.laion2b_ft_in1k,224,81.6967,18.3033,92.24,7.76,304.2,1.0,bicubic
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_320,320,81.4667,18.5333,92.0567,7.9433,200.13,1.0,bicubic
regnety_320.swag_lc_in1k,224,81.46,18.54,93.3133,6.6867,145.05,0.965,bicubic
eva_large_patch14_196.in22k_ft_in1k,196,81.3,18.7,91.5367,8.4633,304.14,1.0,bicubic
regnety_320.swag_ft_in1k,384,81.29,18.71,92.7267,7.2733,145.05,1.0,bicubic
beit3_large_patch16_224.indomain_in22k_ft_in1k,224,81.22,18.78,91.5767,8.4233,304.57,1.0,bicubic
convnext_large_mlp.clip_laion2b_augreg_ft_in1k,256,80.99,19.01,91.9433,8.0567,200.13,1.0,bicubic
eva_large_patch14_336.in22k_ft_in22k_in1k,336,80.0933,19.9067,89.3333,10.6667,304.53,1.0,bicubic
resnext101_32x32d.fb_wsl_ig1b_ft_in1k,224,79.5167,20.4833,89.24,10.76,468.53,0.875,bilinear
resnext101_32x16d.fb_wsl_ig1b_ft_in1k,224,78.8967,21.1033,88.46,11.54,194.03,0.875,bilinear
vit_large_patch14_clip_224.openai_ft_in12k_in1k,224,78.7267,21.2733,89.0,11.0,304.2,1.0,bicubic
eva_large_patch14_196.in22k_ft_in22k_in1k,196,78.51,21.49,88.3233,11.6767,304.14,1.0,bicubic
vit_large_patch14_clip_336.laion2b_ft_in12k_in1k,336,78.5033,21.4967,88.54,11.46,304.53,1.0,bicubic
vit_large_patch14_clip_224.laion2b_ft_in12k_in1k,224,78.2933,21.7067,88.7867,11.2133,304.2,1.0,bicubic
regnety_160.swag_lc_in1k,224,78.2333,21.7667,91.7033,8.2967,83.59,0.965,bicubic
regnety_160.swag_ft_in1k,384,77.7167,22.2833,90.7133,9.2867,83.59,1.0,bicubic
eva02_base_patch14_448.mim_in22k_ft_in1k,448,77.5333,22.4667,89.3233,10.6767,87.12,1.0,bicubic
eva02_base_patch14_448.mim_in22k_ft_in22k_in1k,448,77.4233,22.5767,88.4233,11.5767,87.12,1.0,bicubic
tf_efficientnet_l2.ns_jft_in1k_475,475,76.35,23.65,88.5167,11.4833,480.31,0.936,bicubic
beitv2_large_patch16_224.in1k_ft_in22k_in1k,224,76.31,23.69,87.05,12.95,304.43,0.95,bicubic
resnext101_32x16d.fb_swsl_ig1b_ft_in1k,224,76.2167,23.7833,87.73,12.27,194.03,0.875,bilinear
convnextv2_huge.fcmae_ft_in22k_in1k_384,384,75.97,24.03,86.6167,13.3833,660.29,1.0,bicubic
resnext101_32x8d.fb_wsl_ig1b_ft_in1k,224,75.8833,24.1167,86.24,13.76,88.79,0.875,bilinear
convnextv2_huge.fcmae_ft_in22k_in1k_512,512,75.84,24.16,86.9333,13.0667,660.29,1.0,bicubic
resnext101_32x8d.fb_swsl_ig1b_ft_in1k,224,75.5733,24.4267,87.0467,12.9533,88.79,0.875,bilinear
convnext_base.clip_laion2b_augreg_ft_in12k_in1k_384,384,75.2033,24.7967,88.48,11.52,88.59,1.0,bicubic
convnext_base.clip_laiona_augreg_ft_in1k_384,384,75.1633,24.8367,88.52,11.48,88.59,1.0,bicubic
tf_efficientnet_l2.ns_jft_in1k,800,74.59,25.41,87.4833,12.5167,480.31,0.96,bicubic
convnext_base.clip_laion2b_augreg_ft_in12k_in1k,256,73.7033,26.2967,87.3033,12.6967,88.59,1.0,bicubic
convnext_base.clip_laion2b_augreg_ft_in1k,256,73.4467,26.5533,87.2,12.8,88.59,1.0,bicubic
beit_large_patch16_384.in22k_ft_in22k_in1k,384,73.1867,26.8133,84.8067,15.1933,305.0,1.0,bicubic
beit_large_patch16_512.in22k_ft_in22k_in1k,512,73.0467,26.9533,84.9367,15.0633,305.67,1.0,bicubic
resnext101_32x4d.fb_swsl_ig1b_ft_in1k,224,72.7033,27.2967,85.1933,14.8067,44.18,0.875,bilinear
maxvit_xlarge_tf_512.in21k_ft_in1k,512,71.9033,28.0967,83.03,16.97,475.77,1.0,bicubic
maxvit_xlarge_tf_384.in21k_ft_in1k,384,71.7767,28.2233,82.8133,17.1867,475.32,1.0,bicubic
vit_so150m2_patch16_reg1_gap_448.sbb_e200_in12k_ft_in1k,448,71.17,28.83,83.1533,16.8467,136.5,1.0,bicubic
beit_large_patch16_224.in22k_ft_in22k_in1k,224,71.0267,28.9733,83.3467,16.6533,304.43,0.9,bicubic
deit3_huge_patch14_224.fb_in22k_ft_in1k,224,70.8433,29.1567,82.2067,17.7933,632.13,1.0,bicubic
vit_so150m2_patch16_reg1_gap_384.sbb_e200_in12k_ft_in1k,384,70.83,29.17,82.6567,17.3433,136.33,1.0,bicubic
deit3_large_patch16_384.fb_in22k_ft_in1k,384,70.62,29.38,82.4033,17.5967,304.76,1.0,bicubic
vit_base_patch16_clip_384.laion2b_ft_in1k,384,70.5967,29.4033,83.7033,16.2967,86.86,1.0,bicubic
beitv2_large_patch16_224.in1k_ft_in1k,224,70.44,29.56,83.4133,16.5867,304.43,0.95,bicubic
maxvit_base_tf_512.in21k_ft_in1k,512,70.4333,29.5667,81.62,18.38,119.88,1.0,bicubic
caformer_b36.sail_in22k_ft_in1k_384,384,70.4333,29.5667,82.4133,17.5867,98.75,1.0,bicubic
maxvit_large_tf_512.in21k_ft_in1k,512,70.3567,29.6433,81.66,18.34,212.33,1.0,bicubic
maxvit_large_tf_384.in21k_ft_in1k,384,70.0067,29.9933,80.9967,19.0033,212.03,1.0,bicubic
deit3_large_patch16_224.fb_in22k_ft_in1k,224,69.7267,30.2733,81.2,18.8,304.37,1.0,bicubic
maxvit_base_tf_384.in21k_ft_in1k,384,69.5967,30.4033,80.7167,19.2833,119.65,1.0,bicubic
resnext50_32x4d.fb_swsl_ig1b_ft_in1k,224,69.1067,30.8933,82.93,17.07,25.03,0.875,bilinear
maxvit_rmlp_base_rw_384.sw_in12k_ft_in1k,384,68.9667,31.0333,79.8767,20.1233,116.14,1.0,bicubic
vit_so150m2_patch16_reg1_gap_256.sbb_e200_in12k_ft_in1k,256,68.92,31.08,81.0233,18.9767,136.06,1.0,bicubic
vit_base_patch16_clip_224.laion2b_ft_in1k,224,68.7033,31.2967,82.3967,17.6033,86.57,1.0,bicubic
convnextv2_large.fcmae_ft_in22k_in1k_384,384,68.53,31.47,80.9867,19.0133,197.96,1.0,bicubic
resnet50.fb_swsl_ig1b_ft_in1k,224,68.38,31.62,83.3867,16.6133,25.56,0.875,bilinear
caformer_b36.sail_in22k_ft_in1k,224,68.3267,31.6733,80.65,19.35,98.75,1.0,bicubic
hgnetv2_b6.ssld_stage1_in22k_in1k,224,68.07,31.93,81.84,18.16,75.26,0.965,bicubic
maxxvitv2_rmlp_base_rw_384.sw_in12k_ft_in1k,384,68.01,31.99,80.62,19.38,116.09,1.0,bicubic
vit_so150m_patch16_reg4_gap_384.sbb_e250_in12k_ft_in1k,384,67.98,32.02,79.9233,20.0767,134.42,1.0,bicubic
convnext_xlarge.fb_in22k_ft_in1k_384,384,67.78,32.22,80.1267,19.8733,350.2,1.0,bicubic
hgnetv2_b6.ssld_stage2_ft_in1k,224,67.7267,32.2733,81.73,18.27,75.26,0.965,bicubic
hgnetv2_b5.ssld_stage2_ft_in1k,224,67.5867,32.4133,81.0033,18.9967,39.57,0.965,bicubic
swinv2_large_window12to24_192to384.ms_in22k_ft_in1k,384,67.5267,32.4733,80.1467,19.8533,196.74,1.0,bicubic
vit_base_patch16_clip_384.openai_ft_in1k,384,67.2633,32.7367,81.7867,18.2133,86.86,1.0,bicubic
hgnetv2_b5.ssld_stage1_in22k_in1k,224,67.21,32.79,80.5333,19.4667,39.57,0.965,bicubic
vit_large_patch16_384.augreg_in21k_ft_in1k,384,67.1233,32.8767,78.72,21.28,304.72,1.0,bicubic
tf_efficientnet_b7.ns_jft_in1k,600,67.0233,32.9767,81.0867,18.9133,66.35,0.949,bicubic
convnextv2_base.fcmae_ft_in22k_in1k_384,384,67.0033,32.9967,79.72,20.28,88.72,1.0,bicubic
mambaout_base_plus_rw.sw_e150_r384_in12k_ft_in1k,384,66.9967,33.0033,80.2367,19.7633,101.66,1.0,bicubic
coatnet_rmlp_2_rw_384.sw_in12k_ft_in1k,384,66.5167,33.4833,78.2733,21.7267,73.88,1.0,bicubic
convnext_large.fb_in22k_ft_in1k_384,384,66.51,33.49,79.4267,20.5733,197.77,1.0,bicubic
beit3_base_patch16_224.in22k_ft_in1k,224,66.4933,33.5067,80.9367,19.0633,86.66,1.0,bicubic
convformer_b36.sail_in22k_ft_in1k_384,384,66.4633,33.5367,78.9933,21.0067,99.88,1.0,bicubic
maxvit_rmlp_base_rw_224.sw_in12k_ft_in1k,224,66.34,33.66,77.8567,22.1433,116.14,0.95,bicubic
vit_so150m_patch16_reg4_gap_256.sbb_e250_in12k_ft_in1k,256,66.3267,33.6733,78.9633,21.0367,134.13,0.95,bicubic
hgnetv2_b6.ssld_stage2_ft_in1k,288,66.3133,33.6867,80.46,19.54,75.26,1.0,bicubic
hgnetv2_b6.ssld_stage1_in22k_in1k,288,66.2533,33.7467,80.5033,19.4967,75.26,1.0,bicubic
convnextv2_large.fcmae_ft_in22k_in1k,224,66.0233,33.9767,78.9633,21.0367,197.96,0.875,bicubic
swin_large_patch4_window12_384.ms_in22k_ft_in1k,384,65.96,34.04,79.2433,20.7567,196.74,1.0,bicubic
vit_base_patch16_clip_384.laion2b_ft_in12k_in1k,384,65.9267,34.0733,78.6833,21.3167,86.86,1.0,bicubic
vit_base_patch16_clip_224.openai_ft_in1k,224,65.8833,34.1167,80.87,19.13,86.57,0.9,bicubic
beitv2_base_patch16_224.in1k_ft_in22k_in1k,224,65.7467,34.2533,78.8367,21.1633,86.53,0.9,bicubic
beit3_base_patch16_224.indomain_in22k_ft_in1k,224,65.57,34.43,79.9767,20.0233,86.66,1.0,bicubic
swinv2_base_window12to24_192to384.ms_in22k_ft_in1k,384,65.5233,34.4767,78.8633,21.1367,87.92,1.0,bicubic
swinv2_large_window12to16_192to256.ms_in22k_ft_in1k,256,65.5067,34.4933,78.44,21.56,196.74,0.9,bicubic
tf_efficientnet_b6.ns_jft_in1k,528,65.4633,34.5367,79.46,20.54,43.04,0.942,bicubic
caformer_m36.sail_in22k_ft_in1k_384,384,65.34,34.66,78.41,21.59,56.2,1.0,bicubic
mambaout_base_plus_rw.sw_e150_in12k_ft_in1k,224,65.3067,34.6933,78.5333,21.4667,101.66,1.0,bicubic
convformer_b36.sail_in22k_ft_in1k,224,65.2733,34.7267,77.95,22.05,99.88,1.0,bicubic
vit_mediumd_patch16_reg4_gap_384.sbb2_e200_in12k_ft_in1k,384,65.2467,34.7533,78.41,21.59,64.27,1.0,bicubic
vit_base_patch16_clip_384.openai_ft_in12k_in1k,384,65.22,34.78,78.8833,21.1167,86.86,0.95,bicubic
convnext_xlarge.fb_in22k_ft_in1k,224,65.0733,34.9267,77.69,22.31,350.2,0.875,bicubic
hiera_huge_224.mae_in1k_ft_in1k,224,64.9667,35.0333,77.69,22.31,672.78,0.9,bicubic
nextvit_large.bd_ssld_6m_in1k_384,384,64.8267,35.1733,79.21,20.79,57.87,1.0,bicubic
mambaout_base_plus_rw.sw_e150_in12k_ft_in1k,288,64.8,35.2,78.5833,21.4167,101.66,1.0,bicubic
convnext_xlarge.fb_in22k_ft_in1k,288,64.76,35.24,77.8467,22.1533,350.2,1.0,bicubic
convnext_base.fb_in22k_ft_in1k_384,384,64.7433,35.2567,78.1767,21.8233,88.59,1.0,bicubic
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,224,64.7333,35.2667,77.6967,22.3033,86.57,0.95,bicubic
convnextv2_large.fcmae_ft_in22k_in1k,288,64.6633,35.3367,78.1733,21.8267,197.96,1.0,bicubic
convnextv2_base.fcmae_ft_in22k_in1k,224,64.61,35.39,78.2533,21.7467,88.72,0.875,bicubic
hgnetv2_b5.ssld_stage2_ft_in1k,288,64.57,35.43,79.0167,20.9833,39.57,1.0,bicubic
vit_large_patch16_224.augreg_in21k_ft_in1k,224,64.3667,35.6333,76.2733,23.7267,304.33,0.9,bicubic
hgnetv2_b5.ssld_stage1_in22k_in1k,288,64.2633,35.7367,78.3433,21.6567,39.57,1.0,bicubic
vit_large_r50_s32_384.augreg_in21k_ft_in1k,384,64.1667,35.8333,75.9167,24.0833,329.09,1.0,bicubic
maxxvitv2_rmlp_base_rw_224.sw_in12k_ft_in1k,224,63.9467,36.0533,77.4533,22.5467,116.09,0.95,bicubic
hgnet_base.ssld_in1k,224,63.9433,36.0567,76.79,23.21,71.58,0.965,bicubic
convnext_large.fb_in22k_ft_in1k,288,63.94,36.06,77.3233,22.6767,197.77,1.0,bicubic
convnext_large.fb_in22k_ft_in1k,224,63.8433,36.1567,77.2667,22.7333,197.77,0.875,bicubic
swin_large_patch4_window7_224.ms_in22k_ft_in1k,224,63.7333,36.2667,78.06,21.94,196.53,0.9,bicubic
