model,img_size,top1,top1_err,top5,top5_err,param_count,crop_pct,interpolation
eva02_large_patch14_448.mim_m38m_ft_in22k_in1k,448,91.1438,8.8562,98.7254,1.2746,305.08,1.0,bicubic
eva_giant_patch14_336.clip_ft_in1k,336,91.0776,8.9224,98.6037,1.3963,1013.01,1.0,bicubic
eva02_large_patch14_448.mim_in22k_ft_in22k_in1k,448,91.0498,8.9502,98.6848,1.3152,305.08,1.0,bicubic
eva_giant_patch14_560.m30m_ft_in22k_in1k,560,90.9495,9.0505,98.6741,1.3259,1014.45,1.0,bicubic
vit_so400m_patch14_siglip_gap_378.webli_ft_in1k,378,90.9388,9.0612,98.6485,1.3515,414.14,1.0,bicubic
eva02_large_patch14_448.mim_in22k_ft_in1k,448,90.9302,9.0698,98.6784,1.3216,305.08,1.0,bicubic
eva02_base_patch14_448.mim_in22k_ft_in22k_in1k,448,90.911,9.089,98.8108,1.1892,87.12,1.0,bicubic
eva_large_patch14_336.in22k_ft_in1k,336,90.9068,9.0932,98.7809,1.2191,304.53,1.0,bicubic
eva_giant_patch14_224.clip_ft_in1k,224,90.8961,9.1039,98.6827,1.3173,1012.56,0.9,bicubic
eva_giant_patch14_336.m30m_ft_in22k_in1k,336,90.8961,9.1039,98.6613,1.3387,1013.01,1.0,bicubic
eva02_large_patch14_448.mim_m38m_ft_in1k,448,90.8854,9.1146,98.6592,1.3408,305.08,1.0,bicubic
eva_large_patch14_336.in22k_ft_in22k_in1k,336,90.8769,9.1231,98.7211,1.2789,304.53,1.0,bicubic
caformer_b36.sail_in22k_ft_in1k_384,384,90.8043,9.1957,98.862,1.138,98.75,1.0,bicubic
vit_so400m_patch14_siglip_378.webli_ft_in1k,378,90.7979,9.2021,98.6869,1.3131,429.38,1.0,bicubic
eva02_base_patch14_448.mim_in22k_ft_in1k,448,90.7893,9.2107,98.7382,1.2618,87.12,1.0,bicubic
vit_so150m2_patch16_reg1_gap_448.sbb_e200_in12k_ft_in1k,448,90.7167,9.2833,98.7424,1.2576,136.5,1.0,bicubic
beit_large_patch16_512.in22k_ft_in22k_in1k,512,90.7146,9.2854,98.7702,1.2298,305.67,1.0,bicubic
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_384,384,90.7018,9.2982,98.8214,1.1786,200.13,1.0,bicubic
convnext_large_mlp.clip_laion2b_augreg_ft_in1k_384,384,90.6698,9.3302,98.7617,1.2383,200.13,1.0,bicubic
convnext_xxlarge.clip_laion2b_soup_ft_in1k,256,90.6676,9.3324,98.8065,1.1935,846.47,1.0,bicubic
regnety_1280.swag_ft_in1k,384,90.6612,9.3388,98.8193,1.1807,644.81,1.0,bicubic
volo_d5_512.sail_in1k,512,90.6335,9.3665,98.7019,1.2981,296.09,1.15,bicubic
vit_so150m2_patch16_reg1_gap_384.sbb_e200_in12k_ft_in1k,384,90.6143,9.3857,98.7723,1.2277,136.33,1.0,bicubic
beit_large_patch16_384.in22k_ft_in22k_in1k,384,90.5993,9.4007,98.7723,1.2277,305.0,1.0,bicubic
volo_d5_448.sail_in1k,448,90.5865,9.4135,98.6912,1.3088,295.91,1.15,bicubic
maxvit_rmlp_base_rw_384.sw_in12k_ft_in1k,384,90.5758,9.4242,98.6229,1.3771,116.14,1.0,bicubic
tf_efficientnet_l2.ns_jft_in1k,800,90.5694,9.4306,98.7766,1.2234,480.31,0.96,bicubic
maxvit_base_tf_512.in21k_ft_in1k,512,90.5673,9.4327,98.7019,1.2981,119.88,1.0,bicubic
eva_large_patch14_196.in22k_ft_in22k_in1k,196,90.5609,9.4391,98.6997,1.3003,304.14,1.0,bicubic
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_320,320,90.5566,9.4434,98.8001,1.1999,200.13,1.0,bicubic
vit_large_patch14_clip_336.openai_ft_in12k_in1k,336,90.5481,9.4519,98.6741,1.3259,304.53,1.0,bicubic
convnext_xlarge.fb_in22k_ft_in1k_384,384,90.5395,9.4605,98.7702,1.2298,350.2,1.0,bicubic
tf_efficientnet_l2.ns_jft_in1k_475,475,90.5267,9.4733,98.7083,1.2917,480.31,0.936,bicubic
eva_large_patch14_196.in22k_ft_in1k,196,90.5267,9.4733,98.7681,1.2319,304.14,1.0,bicubic
convnextv2_huge.fcmae_ft_in22k_in1k_512,512,90.5246,9.4754,98.704,1.296,660.29,1.0,bicubic
mambaout_base_plus_rw.sw_e150_r384_in12k_ft_in1k,384,90.5203,9.4797,98.7958,1.2042,101.66,1.0,bicubic
volo_d4_448.sail_in1k,448,90.5096,9.4904,98.5951,1.4049,193.41,1.15,bicubic
maxvit_xlarge_tf_512.in21k_ft_in1k,512,90.5054,9.4946,98.5973,1.4027,475.77,1.0,bicubic
vit_huge_patch14_clip_336.laion2b_ft_in12k_in1k,336,90.5032,9.4968,98.6272,1.3728,632.46,1.0,bicubic
beit3_large_patch16_224.in22k_ft_in1k,224,90.4926,9.5074,98.6528,1.3472,304.57,1.0,bicubic
convformer_b36.sail_in22k_ft_in1k_384,384,90.4862,9.5138,98.7723,1.2277,99.88,1.0,bicubic
