model,img_size,top1,top1_err,top5,top5_err,param_count,crop_pct,interpolation
eva02_large_patch14_448.mim_m38m_ft_in22k_in1k,448,90.054,9.946,99.056,0.944,305.08,1.000,bicubic
eva02_large_patch14_448.mim_in22k_ft_in22k_in1k,448,89.966,10.034,99.016,0.984,305.08,1.000,bicubic
eva_giant_patch14_560.m30m_ft_in22k_in1k,560,89.796,10.204,98.990,1.010,"1,014.45",1.000,bicubic
eva02_large_patch14_448.mim_in22k_ft_in1k,448,89.632,10.368,98.954,1.046,305.08,1.000,bicubic
eva_giant_patch14_336.m30m_ft_in22k_in1k,336,89.570,10.430,98.954,1.046,"1,013.01",1.000,bicubic
eva02_large_patch14_448.mim_m38m_ft_in1k,448,89.554,10.446,98.924,1.076,305.08,1.000,bicubic
eva_giant_patch14_336.clip_ft_in1k,336,89.462,10.538,98.828,1.172,"1,013.01",1.000,bicubic
eva_large_patch14_336.in22k_ft_in22k_in1k,336,89.250,10.750,98.852,1.148,304.53,1.000,bicubic
eva_giant_patch14_224.clip_ft_in1k,224,88.886,11.114,98.680,1.320,"1,012.56",0.900,bicubic
convnextv2_huge.fcmae_ft_in22k_in1k_512,512,88.860,11.140,98.740,1.260,660.29,1.000,bicubic
eva_large_patch14_336.in22k_ft_in1k,336,88.690,11.310,98.710,1.290,304.53,1.000,bicubic
eva02_base_patch14_448.mim_in22k_ft_in22k_in1k,448,88.682,11.318,98.728,1.272,87.12,1.000,bicubic
convnextv2_huge.fcmae_ft_in22k_in1k_384,384,88.662,11.338,98.734,1.266,660.29,1.000,bicubic
vit_huge_patch14_clip_336.laion2b_ft_in12k_in1k,336,88.628,11.372,98.670,1.330,632.46,1.000,bicubic
convnext_xxlarge.clip_laion2b_soup_ft_in1k,256,88.622,11.378,98.718,1.282,846.47,1.000,bicubic
eva_large_patch14_196.in22k_ft_in22k_in1k,196,88.596,11.404,98.662,1.338,304.14,1.000,bicubic
beit_large_patch16_512.in22k_ft_in22k_in1k,512,88.578,11.422,98.660,1.340,305.67,1.000,bicubic
maxvit_xlarge_tf_512.in21k_ft_in1k,512,88.540,11.460,98.652,1.348,475.77,1.000,bicubic
beitv2_large_patch16_224.in1k_ft_in22k_in1k,224,88.406,11.594,98.602,1.398,304.43,0.950,bicubic
beit_large_patch16_384.in22k_ft_in22k_in1k,384,88.382,11.618,98.608,1.392,305.00,1.000,bicubic
tf_efficientnet_l2.ns_jft_in1k,800,88.362,11.638,98.656,1.344,480.31,0.960,bicubic
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_384,384,88.334,11.666,98.574,1.426,200.13,1.000,bicubic
maxvit_xlarge_tf_384.in21k_ft_in1k,384,88.304,11.696,98.540,1.460,475.32,1.000,bicubic
vit_huge_patch14_clip_224.laion2b_ft_in12k_in1k,224,88.278,11.722,98.552,1.448,632.05,1.000,bicubic
eva02_base_patch14_448.mim_in22k_ft_in1k,448,88.266,11.734,98.570,1.430,87.12,1.000,bicubic
vit_large_patch14_clip_336.openai_ft_in12k_in1k,336,88.264,11.736,98.528,1.472,304.53,1.000,bicubic
tf_efficientnet_l2.ns_jft_in1k_475,475,88.250,11.750,98.556,1.444,480.31,0.936,bicubic
maxvit_large_tf_512.in21k_ft_in1k,512,88.236,11.764,98.608,1.392,212.33,1.000,bicubic
regnety_1280.swag_ft_in1k,384,88.224,11.776,98.698,1.302,644.81,1.000,bicubic
maxvit_base_tf_512.in21k_ft_in1k,512,88.212,11.788,98.538,1.462,119.88,1.000,bicubic
vit_large_patch14_clip_336.laion2b_ft_in12k_in1k,336,88.192,11.808,98.570,1.430,304.53,1.000,bicubic
convnextv2_large.fcmae_ft_in22k_in1k_384,384,88.178,11.822,98.518,1.482,197.96,1.000,bicubic
vit_large_patch14_clip_224.openai_ft_in12k_in1k,224,88.162,11.838,98.540,1.460,304.20,1.000,bicubic
caformer_b36.sail_in22k_ft_in1k_384,384,88.066,11.934,98.590,1.410,98.75,1.000,bicubic
maxvit_large_tf_384.in21k_ft_in1k,384,87.996,12.004,98.568,1.432,212.03,1.000,bicubic
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_320,320,87.970,12.030,98.474,1.526,200.13,1.000,bicubic
eva_large_patch14_196.in22k_ft_in1k,196,87.956,12.044,98.480,1.520,304.14,1.000,bicubic
maxvit_base_tf_384.in21k_ft_in1k,384,87.928,12.072,98.538,1.462,119.65,1.000,bicubic
vit_large_patch14_clip_224.laion2b_ft_in12k_in1k,224,87.898,12.102,98.408,1.592,304.20,1.000,bicubic
convnext_large_mlp.clip_laion2b_augreg_ft_in1k_384,384,87.890,12.110,98.448,1.552,200.13,1.000,bicubic
vit_large_patch14_clip_336.laion2b_ft_in1k,336,87.866,12.134,98.354,1.646,304.53,1.000,bicubic
vit_large_patch14_clip_224.openai_ft_in1k,224,87.860,12.140,98.430,1.570,304.20,1.000,bicubic
maxvit_rmlp_base_rw_384.sw_in12k_ft_in1k,384,87.812,12.188,98.368,1.632,116.14,1.000,bicubic
convnext_xlarge.fb_in22k_ft_in1k_384,384,87.766,12.234,98.554,1.446,350.20,1.000,bicubic
deit3_large_patch16_384.fb_in22k_ft_in1k,384,87.734,12.266,98.508,1.492,304.76,1.000,bicubic
convnextv2_base.fcmae_ft_in22k_in1k_384,384,87.638,12.362,98.416,1.584,88.72,1.000,bicubic
vit_huge_patch14_clip_224.laion2b_ft_in1k,224,87.624,12.376,98.228,1.772,632.05,1.000,bicubic
convformer_b36.sail_in22k_ft_in1k_384,384,87.602,12.398,98.432,1.568,99.88,1.000,bicubic
convnextv2_large.fcmae_ft_in22k_in1k,288,87.494,12.506,98.360,1.640,197.96,1.000,bicubic
