model,img_size,top1,top1_err,top5,top5_err,param_count,crop_pct,interpolation
eva02_large_patch14_448.mim_in22k_ft_in22k_in1k,448,82.77,17.23,96.45,3.55,305.08,1.0,bicubic
eva02_large_patch14_448.mim_m38m_ft_in22k_in1k,448,82.71,17.29,96.55,3.45,305.08,1.0,bicubic
eva02_large_patch14_448.mim_m38m_ft_in1k,448,82.4,17.6,96.2,3.8,305.08,1.0,bicubic
eva02_large_patch14_448.mim_in22k_ft_in1k,448,82.22,17.78,96.32,3.68,305.08,1.0,bicubic
eva_giant_patch14_336.clip_ft_in1k,336,82.18,17.82,96.25,3.75,1013.01,1.0,bicubic
vit_so400m_patch14_siglip_378.webli_ft_in1k,378,81.87,18.13,96.23,3.77,429.38,1.0,bicubic
eva_giant_patch14_560.m30m_ft_in22k_in1k,560,81.8,18.2,96.34,3.66,1014.45,1.0,bicubic
eva_giant_patch14_336.m30m_ft_in22k_in1k,336,81.69,18.31,96.18,3.82,1013.01,1.0,bicubic
eva_giant_patch14_224.clip_ft_in1k,224,81.68,18.32,96.09,3.91,1012.56,0.9,bicubic
vit_so400m_patch14_siglip_gap_378.webli_ft_in1k,378,81.62,18.38,96.27,3.73,414.14,1.0,bicubic
eva_large_patch14_336.in22k_ft_in1k,336,81.07,18.93,95.81,4.19,304.53,1.0,bicubic
beit_large_patch16_512.in22k_ft_in22k_in1k,512,80.82,19.18,95.86,4.14,305.67,1.0,bicubic
eva_large_patch14_336.in22k_ft_in22k_in1k,336,80.78,19.22,95.99,4.01,304.53,1.0,bicubic
convnext_xxlarge.clip_laion2b_soup_ft_in1k,256,80.61,19.39,95.9,4.1,846.47,1.0,bicubic
tf_efficientnet_l2.ns_jft_in1k_475,475,80.52,19.48,95.63,4.37,480.31,0.936,bicubic
regnety_1280.swag_ft_in1k,384,80.5,19.5,96.11,3.89,644.81,1.0,bicubic
vit_large_patch14_clip_336.openai_ft_in12k_in1k,336,80.48,19.52,95.52,4.48,304.53,1.0,bicubic
beitv2_large_patch16_224.in1k_ft_in22k_in1k,224,80.41,19.59,95.21,4.79,304.43,0.95,bicubic
