model,img_size,top1,top1_err,top5,top5_err,param_count,crop_pct,interpolation
vit_so400m_patch14_siglip_gap_378.webli_ft_in1k,378,71.7169,28.2831,90.666,9.334,414.14,1.0,bicubic
vit_so400m_patch14_siglip_378.webli_ft_in1k,378,71.4889,28.5111,90.6188,9.3812,429.38,1.0,bicubic
eva_giant_patch14_336.clip_ft_in1k,336,71.2001,28.7999,90.3358,9.6642,1013.01,1.0,bicubic
eva02_large_patch14_448.mim_m38m_ft_in22k_in1k,448,70.6675,29.3325,89.8347,10.1653,305.08,1.0,bicubic
eva02_large_patch14_448.mim_m38m_ft_in1k,448,70.5319,29.4681,89.8465,10.1535,305.08,1.0,bicubic
eva_giant_patch14_224.clip_ft_in1k,224,70.076,29.924,89.766,10.234,1012.56,0.9,bicubic
convnext_xxlarge.clip_laion2b_soup_ft_in1k,256,70.0623,29.9377,90.3437,9.6563,846.47,1.0,bicubic
eva_giant_patch14_336.m30m_ft_in22k_in1k,336,68.0481,31.9519,87.8264,12.1736,1013.01,1.0,bicubic
eva02_large_patch14_448.mim_in22k_ft_in22k_in1k,448,67.5608,32.4392,87.4963,12.5037,305.08,1.0,bicubic
eva_giant_patch14_560.m30m_ft_in22k_in1k,560,67.4802,32.5198,87.4708,12.5292,1014.45,1.0,bicubic
vit_huge_patch14_clip_224.laion2b_ft_in1k,224,67.4252,32.5748,87.8697,12.1303,632.05,1.0,bicubic
eva02_large_patch14_448.mim_in22k_ft_in1k,448,66.987,33.013,87.455,12.545,305.08,1.0,bicubic
convnext_large_mlp.clip_laion2b_augreg_ft_in1k_384,384,66.4662,33.5338,87.4059,12.5941,200.13,1.0,bicubic
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_384,384,65.747,34.253,87.0227,12.9773,200.13,1.0,bicubic
vit_large_patch14_clip_336.laion2b_ft_in1k,336,65.747,34.253,86.9481,13.0519,304.53,1.0,bicubic
vit_huge_patch14_clip_224.laion2b_ft_in12k_in1k,224,65.3226,34.6774,86.8164,13.1836,632.05,1.0,bicubic
vit_huge_patch14_clip_336.laion2b_ft_in12k_in1k,336,65.2892,34.7108,86.7653,13.2347,632.46,1.0,bicubic
convnext_large_mlp.clip_laion2b_augreg_ft_in1k,256,65.071,34.929,86.2878,13.7122,200.13,1.0,bicubic
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_320,320,64.9178,35.0822,86.6278,13.3722,200.13,1.0,bicubic
vit_large_patch14_clip_224.laion2b_ft_in1k,224,64.8274,35.1726,86.5806,13.4194,304.2,1.0,bicubic
regnety_1280.swag_ft_in1k,384,64.1062,35.8938,86.05,13.95,644.81,1.0,bicubic
vit_large_patch14_clip_336.openai_ft_in12k_in1k,336,64.0472,35.9528,85.9125,14.0875,304.53,1.0,bicubic
eva_large_patch14_336.in22k_ft_in1k,336,63.0883,36.9117,84.3994,15.6006,304.53,1.0,bicubic
vit_large_patch14_clip_224.openai_ft_in1k,224,62.6442,37.3558,85.1265,14.8735,304.2,1.0,bicubic
beit3_large_patch16_224.in22k_ft_in1k,224,62.0822,37.9178,83.2361,16.7639,304.57,1.0,bicubic
vit_large_patch14_clip_224.laion2b_ft_in12k_in1k,224,62.0625,37.9375,84.3483,15.6517,304.2,1.0,bicubic
vit_large_patch14_clip_336.laion2b_ft_in12k_in1k,336,61.6597,38.3403,83.6743,16.3257,304.53,1.0,bicubic
vit_large_patch14_clip_224.openai_ft_in12k_in1k,224,61.3944,38.6056,83.3893,16.6107,304.2,1.0,bicubic
eva_large_patch14_196.in22k_ft_in1k,196,61.1488,38.8512,82.7586,17.2414,304.14,1.0,bicubic
eva_large_patch14_336.in22k_ft_in22k_in1k,336,60.9346,39.0654,82.1533,17.8467,304.53,1.0,bicubic
convnext_base.clip_laion2b_augreg_ft_in12k_in1k_384,384,60.8147,39.1853,83.2125,16.7875,88.59,1.0,bicubic
convnext_base.clip_laion2b_augreg_ft_in1k,256,60.3176,39.6824,82.7193,17.2807,88.59,1.0,bicubic
regnety_1280.swag_lc_in1k,224,59.9383,40.0617,83.1535,16.8465,644.81,0.965,bicubic
eva_large_patch14_196.in22k_ft_in22k_in1k,196,59.8636,40.1364,81.1217,18.8783,304.14,1.0,bicubic
convnext_base.clip_laion2b_augreg_ft_in12k_in1k,256,59.8479,40.1521,82.8096,17.1904,88.59,1.0,bicubic
beit3_large_patch16_224.indomain_in22k_ft_in1k,224,59.6357,40.3643,81.2415,18.7585,304.57,1.0,bicubic
convnext_base.clip_laiona_augreg_ft_in1k_384,384,59.4097,40.5903,82.2516,17.7484,88.59,1.0,bicubic
eva02_base_patch14_448.mim_in22k_ft_in22k_in1k,448,58.5176,41.4824,80.7915,19.2085,87.12,1.0,bicubic
resnext101_32x32d.fb_wsl_ig1b_ft_in1k,224,58.4173,41.5827,80.4024,19.5976,468.53,0.875,bilinear
beitv2_large_patch16_224.in1k_ft_in22k_in1k,224,58.378,41.622,80.2236,19.7764,304.43,0.95,bicubic
eva02_base_patch14_448.mim_in22k_ft_in1k,448,58.0322,41.9678,80.7326,19.2674,87.12,1.0,bicubic
regnety_320.swag_ft_in1k,384,57.9202,42.0798,81.497,18.503,145.05,1.0,bicubic
convnextv2_huge.fcmae_ft_in22k_in1k_384,384,57.8868,42.1132,79.6557,20.3443,660.29,1.0,bicubic
convnextv2_huge.fcmae_ft_in22k_in1k_512,512,57.8593,42.1407,79.4278,20.5722,660.29,1.0,bicubic
resnext101_32x16d.fb_wsl_ig1b_ft_in1k,224,57.6981,42.3019,79.9131,20.0869,194.03,0.875,bilinear
resnext101_32x16d.fb_swsl_ig1b_ft_in1k,224,57.4604,42.5396,80.4024,19.5976,194.03,0.875,bilinear
beit_large_patch16_384.in22k_ft_in22k_in1k,384,56.9789,43.0211,79.1664,20.8336,305.0,1.0,bicubic
vit_base_patch16_clip_384.laion2b_ft_in1k,384,56.8689,43.1311,79.9898,20.0102,86.86,1.0,bicubic
beit_large_patch16_512.in22k_ft_in22k_in1k,512,56.7962,43.2038,78.8972,21.1028,305.67,1.0,bicubic
resnext101_32x8d.fb_swsl_ig1b_ft_in1k,224,56.4483,43.5517,78.9738,21.0262,88.79,0.875,bilinear
maxvit_rmlp_base_rw_384.sw_in12k_ft_in1k,384,56.2794,43.7206,77.3035,22.6965,116.14,1.0,bicubic
maxvit_xlarge_tf_384.in21k_ft_in1k,384,56.2302,43.7698,78.7262,21.2738,475.32,1.0,bicubic
maxvit_xlarge_tf_512.in21k_ft_in1k,512,56.1614,43.8386,78.6811,21.3189,475.77,1.0,bicubic
maxvit_base_tf_512.in21k_ft_in1k,512,56.1084,43.8916,78.6614,21.3386,119.88,1.0,bicubic
deit3_huge_patch14_224.fb_in22k_ft_in1k,224,55.7842,44.2158,77.6356,22.3644,632.13,1.0,bicubic
maxvit_base_tf_384.in21k_ft_in1k,384,55.7016,44.2984,78.0267,21.9733,119.65,1.0,bicubic
regnety_320.swag_lc_in1k,224,55.454,44.546,79.7618,20.2382,145.05,0.965,bicubic
vit_base_patch16_clip_224.laion2b_ft_in1k,224,55.4265,44.5735,79.0682,20.9318,86.57,1.0,bicubic
regnety_160.swag_ft_in1k,384,55.1789,44.8211,79.3374,20.6626,83.59,1.0,bicubic
maxvit_large_tf_512.in21k_ft_in1k,512,55.1514,44.8486,77.2583,22.7417,212.33,1.0,bicubic
maxvit_large_tf_384.in21k_ft_in1k,384,55.0708,44.9292,77.1463,22.8537,212.03,1.0,bicubic
convnext_xlarge.fb_in22k_ft_in1k_384,384,55.006,44.994,76.773,23.227,350.2,1.0,bicubic
beit_large_patch16_224.in22k_ft_in22k_in1k,224,54.9726,45.0274,77.616,22.384,304.43,0.9,bicubic
